"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"1240","28588547-04c9-4a2a-ae3c-2396a1a5c7a1","Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","1922-05-20","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387049383","5252836114","0000857893","","","","https://ichp.lukasiewicz.gov.pl","ichp@ichp.lukasiewicz.gov.pl","(22) 568 23 93","/IChP/SkrytkaESP","Polska","mazowieckie","ul. Ludwika Rydygiera","8","01-793","Warszawa","Ewa Śmigiera - Dyrektor instytutu SBŁ","b2efb370-4bb1-40d7-afcd-39f9bd93ff40",,,,,"Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Biotechnologii i Antybiotyków","744fe2d4-b33a-4b80-a274-c682d85364eb","001208872","5250008347","","","","Centrum Łukasiewicz","Połączenie","2020-06-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1922-05-20","instytut badawczy","1922-05-20","ul. Ludwika Rydygiera 8, 01-793 Warszawa, woj. mazowieckie, Polska","1922-05-20"
"1241","28588547-04c9-4a2a-ae3c-2396a1a5c7a1","Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","1922-05-20","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387049383","5252836114","0000857893","","","","https://ichp.lukasiewicz.gov.pl","ichp@ichp.lukasiewicz.gov.pl","(22) 568 23 93","/IChP/SkrytkaESP","Polska","mazowieckie","ul. Ludwika Rydygiera","8","01-793","Warszawa","Ewa Śmigiera - Dyrektor instytutu SBŁ","b2efb370-4bb1-40d7-afcd-39f9bd93ff40",,,,,"Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Biotechnologii i Antybiotyków","744fe2d4-b33a-4b80-a274-c682d85364eb","001208872","5250008347","","","","Centrum Łukasiewicz","Połączenie","2020-06-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1922-05-20","instytut Sieci Łukasiewicz","2019-04-01","ul. Ludwika Rydygiera 8, 01-793 Warszawa, woj. mazowieckie, Polska","1922-05-20"
"1242","28588547-04c9-4a2a-ae3c-2396a1a5c7a1","Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","1922-05-20","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387049383","5252836114","0000857893","","","","https://ichp.lukasiewicz.gov.pl","ichp@ichp.lukasiewicz.gov.pl","(22) 568 23 93","/IChP/SkrytkaESP","Polska","mazowieckie","ul. Ludwika Rydygiera","8","01-793","Warszawa","Ewa Śmigiera - Dyrektor instytutu SBŁ","b2efb370-4bb1-40d7-afcd-39f9bd93ff40",,,,,"Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Biotechnologii i Antybiotyków","744fe2d4-b33a-4b80-a274-c682d85364eb","001208872","5250008347","","","","Centrum Łukasiewicz","Połączenie","2020-06-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1922-05-20","instytut badawczy","1922-05-20","ul. Ludwika Rydygiera 8, 01-793 Warszawa, woj. mazowieckie, Polska","1922-05-20"
"1243","28588547-04c9-4a2a-ae3c-2396a1a5c7a1","Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","1922-05-20","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387049383","5252836114","0000857893","","","","https://ichp.lukasiewicz.gov.pl","ichp@ichp.lukasiewicz.gov.pl","(22) 568 23 93","/IChP/SkrytkaESP","Polska","mazowieckie","ul. Ludwika Rydygiera","8","01-793","Warszawa","Ewa Śmigiera - Dyrektor instytutu SBŁ","b2efb370-4bb1-40d7-afcd-39f9bd93ff40",,,,,"Sieć Badawcza Łukasiewicz - Instytut Chemii Przemysłowej imienia Profesora Ignacego Mościckiego","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Biotechnologii i Antybiotyków","744fe2d4-b33a-4b80-a274-c682d85364eb","001208872","5250008347","","","","Centrum Łukasiewicz","Połączenie","2020-06-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1922-05-20","instytut Sieci Łukasiewicz","2019-04-01","ul. Ludwika Rydygiera 8, 01-793 Warszawa, woj. mazowieckie, Polska","1922-05-20"
"1244","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki","1952-01-01","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1245","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki","1952-01-01","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1246","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Rozwoju i Technologii (poprzednio MRPiT)","2015-11-16","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1247","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Rozwoju i Technologii (poprzednio MRPiT)","2015-11-16","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1248","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1249","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1250","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1251","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1252","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki","1952-01-01","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1253","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki","1952-01-01","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1254","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Rozwoju i Technologii (poprzednio MRPiT)","2015-11-16","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1255","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Rozwoju i Technologii (poprzednio MRPiT)","2015-11-16","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1256","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1257","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1258","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1952-01-01","instytut badawczy","1952-01-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1259","bae7be6a-8b71-4488-a60f-cf37c0bf27f1","Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","1952-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","000041631","7492109260","0000850420","","","","https://www.icso.lukasiewicz.gov.pl/","sekretariat@icso.lukasiewicz.gov.pl","774873470","/ICSOBlachownia/SkrytkaESP","Polska","opolskie","ul. Energetyków","9","47-225","Kędzierzyn-Koźle","Iwona Szwach - Dyrektor instytutu","325a6df4-776b-41e9-bb0d-264c16b24b80",,,,,"Sieć Badawcza Łukasiewicz - Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1952-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Energetyków 9, 47-225 Kędzierzyn-Koźle, woj. opolskie, Polska","1952-01-01"
"1260","10104d5b-8342-476d-a50f-e84ec4c04676","Sieć Badawcza Łukasiewicz - Instytut Elektrotechniki","1946-09-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387388984","5250007684","0000857831","","","","http://iel.lukasiewicz.gov.pl","sekretariat@iel.lukasiewicz.gov.pl","22 112 52 05","/IELPL/SkrytkaESP","Polska","mazowieckie","ul. Mieczysława Pożaryskiego","28","04-703","Warszawa","Sebastian Wydra - Dyrektor instytutu SBŁ","",,,,,"Instytut Elektrotechniki","1946-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki","1946-09-01","Działająca","1946-09-01","instytut badawczy","1946-09-01","ul. Mieczysława Pożaryskiego 28, 04-703 Warszawa, woj. mazowieckie, Polska","1946-09-01"
"1261","10104d5b-8342-476d-a50f-e84ec4c04676","Sieć Badawcza Łukasiewicz - Instytut Elektrotechniki","1946-09-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387388984","5250007684","0000857831","","","","http://iel.lukasiewicz.gov.pl","sekretariat@iel.lukasiewicz.gov.pl","22 112 52 05","/IELPL/SkrytkaESP","Polska","mazowieckie","ul. Mieczysława Pożaryskiego","28","04-703","Warszawa","Sebastian Wydra - Dyrektor instytutu SBŁ","",,,,,"Instytut Elektrotechniki","1946-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki","1946-09-01","Działająca","1946-09-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Mieczysława Pożaryskiego 28, 04-703 Warszawa, woj. mazowieckie, Polska","1946-09-01"
"1262","10104d5b-8342-476d-a50f-e84ec4c04676","Sieć Badawcza Łukasiewicz - Instytut Elektrotechniki","1946-09-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387388984","5250007684","0000857831","","","","http://iel.lukasiewicz.gov.pl","sekretariat@iel.lukasiewicz.gov.pl","22 112 52 05","/IELPL/SkrytkaESP","Polska","mazowieckie","ul. Mieczysława Pożaryskiego","28","04-703","Warszawa","Sebastian Wydra - Dyrektor instytutu SBŁ","",,,,,"Instytut Elektrotechniki","1946-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Rozwoju i Technologii (poprzednio MRPiT)","2015-11-16","Działająca","1946-09-01","instytut badawczy","1946-09-01","ul. Mieczysława Pożaryskiego 28, 04-703 Warszawa, woj. mazowieckie, Polska","1946-09-01"
"1263","10104d5b-8342-476d-a50f-e84ec4c04676","Sieć Badawcza Łukasiewicz - Instytut Elektrotechniki","1946-09-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387388984","5250007684","0000857831","","","","http://iel.lukasiewicz.gov.pl","sekretariat@iel.lukasiewicz.gov.pl","22 112 52 05","/IELPL/SkrytkaESP","Polska","mazowieckie","ul. Mieczysława Pożaryskiego","28","04-703","Warszawa","Sebastian Wydra - Dyrektor instytutu SBŁ","",,,,,"Instytut Elektrotechniki","1946-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Rozwoju i Technologii (poprzednio MRPiT)","2015-11-16","Działająca","1946-09-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Mieczysława Pożaryskiego 28, 04-703 Warszawa, woj. mazowieckie, Polska","1946-09-01"
"1264","10104d5b-8342-476d-a50f-e84ec4c04676","Sieć Badawcza Łukasiewicz - Instytut Elektrotechniki","1946-09-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387388984","5250007684","0000857831","","","","http://iel.lukasiewicz.gov.pl","sekretariat@iel.lukasiewicz.gov.pl","22 112 52 05","/IELPL/SkrytkaESP","Polska","mazowieckie","ul. Mieczysława Pożaryskiego","28","04-703","Warszawa","Sebastian Wydra - Dyrektor instytutu SBŁ","",,,,,"Instytut Elektrotechniki","1946-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-09-01","instytut badawczy","1946-09-01","ul. Mieczysława Pożaryskiego 28, 04-703 Warszawa, woj. mazowieckie, Polska","1946-09-01"
"1265","10104d5b-8342-476d-a50f-e84ec4c04676","Sieć Badawcza Łukasiewicz - Instytut Elektrotechniki","1946-09-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387388984","5250007684","0000857831","","","","http://iel.lukasiewicz.gov.pl","sekretariat@iel.lukasiewicz.gov.pl","22 112 52 05","/IELPL/SkrytkaESP","Polska","mazowieckie","ul. Mieczysława Pożaryskiego","28","04-703","Warszawa","Sebastian Wydra - Dyrektor instytutu SBŁ","",,,,,"Instytut Elektrotechniki","1946-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-09-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Mieczysława Pożaryskiego 28, 04-703 Warszawa, woj. mazowieckie, Polska","1946-09-01"
